Team,Year,Position,MeanWins,Percentage,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
Melbourne,2021,1,16.1554,130.8138039999996,48.5,23.54,23.080000000000002,4.3,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Bulldogs,2021,2,16.4298,139.94132399999987,35.5,49.02,10.12,5.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geelong Cats,2021,3,16.1488,126.76445799999964,15.879999999999999,25.16,52.580000000000005,5.94,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Port Adelaide,2021,4,15.042,119.78366000000028,0.12,2.2800000000000002,12.8,50.480000000000004,23.400000000000002,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sydney Swans,2021,5,14.4244,118.35201000000019,0.0,0.0,1.4200000000000002,27.32,38.92,32.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brisbane Lions,2021,6,13.6764,126.02578599999994,0.0,0.0,0.0,6.6000000000000005,36.66,56.279999999999994,0.45999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Coast Eagles,2021,7,10.9576,94.33250399999991,0.0,0.0,0.0,0.0,0.0,0.45999999999999996,59.88,15.479999999999999,13.18,8.64,2.3,0.06,0.0,0.0,0.0,0.0,0.0,0.0
GWS Giants,2021,8,9.7826,95.94042600000003,0.0,0.0,0.0,0.0,0.0,0.0,22.46,38.42,10.72,14.34,10.54,3.3000000000000003,0.22,0.0,0.0,0.0,0.0,0.0
Fremantle,2021,9,9.8346,91.23623199999979,0.0,0.0,0.0,0.0,0.0,0.0,11.5,11.86,21.94,19.139999999999997,13.38,15.1,7.08,0.0,0.0,0.0,0.0,0.0
Richmond,2021,10,9.2522,99.30378399999994,0.0,0.0,0.0,0.0,0.0,0.0,3.38,17.14,17.380000000000003,16.46,24.560000000000002,11.68,9.180000000000001,0.22,0.0,0.0,0.0,0.0
Essendon,2021,11,9.076,102.83083599999996,0.0,0.0,0.0,0.0,0.0,0.0,1.9800000000000002,12.4,19.54,21.64,18.32,14.000000000000002,12.06,0.06,0.0,0.0,0.0,0.0
Carlton,2021,12,8.9734,94.65534600000018,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,3.9800000000000004,11.540000000000001,11.66,19.36,32.32,19.52,1.28,0.0,0.0,0.0,0.0
St Kilda,2021,13,8.9094,86.92871799999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,5.7,8.12,11.48,22.98,47.38,3.34,0.27999999999999997,0.0,0.0,0.0
Collingwood,2021,14,6.5964,91.01701999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.5599999999999999,3.02,40.52,24.099999999999998,23.0,8.72,0.02
Gold Coast Suns,2021,15,6.6816,81.71809400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,24.98,28.24,29.28,15.86,0.44
Adelaide Crows,2021,16,6.8024,80.52634000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,22.52,32.92,28.64,12.120000000000001,3.46
Hawthorn,2021,17,5.458,80.65036400000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,10.82,15.340000000000002,61.5,6.32
North Melbourne,2021,18,4.6046,71.90660199999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,3.64,3.74,1.7999999999999998,89.75999999999999
