,Year,Round,W,L,p
29,2025,0,Brisbane Lions,Western Bulldogs,0.035
20,2025,0,Brisbane Lions,Geelong Cats,0.031
182,2025,0,Western Bulldogs,Brisbane Lions,0.03
188,2025,0,Western Bulldogs,Geelong Cats,0.025
100,2025,0,Geelong Cats,Western Bulldogs,0.023
96,2025,0,Geelong Cats,Port Adelaide,0.021
22,2025,0,Brisbane Lions,Hawthorn,0.02
120,2025,0,Hawthorn,Geelong Cats,0.019
87,2025,0,Geelong Cats,Brisbane Lions,0.018
27,2025,0,Brisbane Lions,Sydney Swans,0.017
127,2025,0,Hawthorn,Western Bulldogs,0.017
94,2025,0,Geelong Cats,Hawthorn,0.016
114,2025,0,Hawthorn,Brisbane Lions,0.015
24,2025,0,Brisbane Lions,Port Adelaide,0.015
126,2025,0,Hawthorn,Sydney Swans,0.013
123,2025,0,Hawthorn,Port Adelaide,0.013
14,2025,0,Brisbane Lions,Adelaide Crows,0.013
152,2025,0,Port Adelaide,Western Bulldogs,0.013
192,2025,0,Western Bulldogs,Port Adelaide,0.013
139,2025,0,Port Adelaide,Brisbane Lions,0.012
