Year,Round,W,L,p
2026,0,Brisbane Lions,Geelong Cats,0.056
2026,0,Geelong Cats,Brisbane Lions,0.0425
2026,0,Geelong Cats,Western Bulldogs,0.035
2026,0,Geelong Cats,Hawthorn,0.033
2026,0,Brisbane Lions,Western Bulldogs,0.0315
2026,0,Geelong Cats,Collingwood,0.031
2026,0,Western Bulldogs,Geelong Cats,0.0245
2026,0,Brisbane Lions,Collingwood,0.024
2026,0,Brisbane Lions,Hawthorn,0.0235
2026,0,Western Bulldogs,Brisbane Lions,0.0205
2026,0,Geelong Cats,GWS GIANTS,0.02
2026,0,Collingwood,Geelong Cats,0.019
2026,0,Geelong Cats,Adelaide Crows,0.019
2026,0,Hawthorn,Geelong Cats,0.018
2026,0,Hawthorn,Brisbane Lions,0.017
2026,0,Brisbane Lions,Adelaide Crows,0.0165
2026,0,Western Bulldogs,Collingwood,0.014
2026,0,Collingwood,Brisbane Lions,0.014
2026,0,Geelong Cats,Gold Coast SUNS,0.013
2026,0,Collingwood,Western Bulldogs,0.013
