Round Number,Date,Venue,Home,Away
1,16/03/2023 19:20,MCG,Richmond,Carlton
1,17/03/2023 19:40,MCG,Geelong Cats,Collingwood
1,18/03/2023 13:45,Marvel Stadium,North Melbourne,West Coast Eagles
1,18/03/2023 16:05,Adelaide Oval,Port Adelaide,Brisbane Lions
1,18/03/2023 19:25,MCG,Melbourne,Western Bulldogs
1,18/03/2023 19:00,Metricon Stadium,Gold Coast Suns,Sydney Swans
1,19/03/2023 13:10,GIANTS Stadium,GWS Giants,Adelaide Crows
1,19/03/2023 15:20,MCG,Hawthorn,Essendon
1,19/03/2023 16:40,Marvel Stadium,St Kilda,Fremantle
2,23/03/2023 19:20,MCG,Carlton,Geelong Cats
2,24/03/2023 18:50,Gabba,Brisbane Lions,Melbourne
2,25/03/2023 13:45,MCG,Collingwood,Port Adelaide
2,25/03/2023 16:05,Adelaide Oval,Adelaide Crows,Richmond
2,25/03/2023 19:25,Marvel Stadium,Western Bulldogs,St Kilda
2,25/03/2023 16:30,Optus Stadium,Fremantle,North Melbourne
2,26/03/2023 13:10,SCG,Sydney Swans,Hawthorn
2,26/03/2023 15:20,Marvel Stadium,Essendon,Gold Coast Suns
2,26/03/2023 15:20,Optus Stadium,West Coast Eagles,GWS Giants
3,30/03/2023 19:20,Marvel Stadium,Western Bulldogs,Brisbane Lions
3,31/03/2023 19:50,MCG,Collingwood,Richmond
3,1/04/2023 13:45,University of Tasmania Stadium,Hawthorn,North Melbourne
3,1/04/2023 16:35,GIANTS Stadium,GWS Giants,Carlton
3,1/04/2023 19:25,MCG,St Kilda,Essendon
3,1/04/2023 19:00,Adelaide Oval,Port Adelaide,Adelaide Crows
3,2/04/2023 14:10,Metricon Stadium,Gold Coast Suns,Geelong Cats
3,2/04/2023 15:20,MCG,Melbourne,Sydney Swans
3,2/04/2023 15:20,Optus Stadium,Fremantle,West Coast Eagles
4,6/04/2023 19:35,Gabba,Brisbane Lions,Collingwood
4,7/04/2023 16:20,Marvel Stadium,North Melbourne,Carlton
4,8/04/2023 13:15,Adelaide Oval,Adelaide Crows,Fremantle
4,8/04/2023 16:35,MCG,Richmond,Western Bulldogs
4,8/04/2023 19:30,Marvel Stadium,St Kilda,Gold Coast Suns
4,8/04/2023 19:30,SCG,Sydney Swans,Port Adelaide
4,9/04/2023 14:10,Marvel Stadium,Essendon,GWS Giants
4,9/04/2023 15:20,Optus Stadium,West Coast Eagles,Melbourne
4,10/04/2023 15:20,MCG,Geelong Cats,Hawthorn
5,13/04/2023 19:10,Adelaide Oval,Adelaide Crows,Carlton
5,14/04/2023 16:40,Norwood Oval,Fremantle,Gold Coast Suns
5,14/04/2023 19:40,Adelaide Oval,Sydney Swans,Richmond
5,15/04/2023 12:40,Adelaide Hills,North Melbourne,Brisbane Lions
5,15/04/2023 15:40,Adelaide Oval,Essendon,Melbourne
5,15/04/2023 19:20,Adelaide Oval,Port Adelaide,Western Bulldogs
5,16/04/2023 12:40,Adelaide Oval,Geelong Cats,West Coast Eagles
5,16/04/2023 14:50,Norwood Oval,Hawthorn,GWS Giants
5,16/04/2023 16:20,Adelaide Oval,St Kilda,Collingwood
6,21/04/2023 18:10,Optus Stadium,Fremantle,Western Bulldogs
6,22/04/2023 13:15,Adelaide Oval,Port Adelaide,West Coast Eagles
6,22/04/2023 16:35,Manuka Oval,GWS Giants,Brisbane Lions
6,22/04/2023 19:25,GMHBA Stadium,Geelong Cats,Sydney Swans
6,23/04/2023 13:10,University of Tasmania Stadium,Hawthorn,Adelaide Crows
6,23/04/2023 15:20,Marvel Stadium,Carlton,St Kilda
6,23/04/2023 16:40,Metricon Stadium,Gold Coast Suns,North Melbourne
6,24/04/2023 19:20,MCG,Melbourne,Richmond
6,25/04/2023 15:20,MCG,Collingwood,Essendon
7,28/04/2023 19:50,Marvel Stadium,St Kilda,Port Adelaide
7,29/04/2023 13:45,Gabba,Brisbane Lions,Fremantle
7,29/04/2023 14:10,SCG,Sydney Swans,GWS Giants
7,29/04/2023 16:35,Marvel Stadium,Western Bulldogs,Hawthorn
7,29/04/2023 19:25,MCG,Melbourne,North Melbourne
7,29/04/2023 17:30,Optus Stadium,West Coast Eagles,Carlton
7,30/04/2023 13:10,MCG,Essendon,Geelong Cats
7,30/04/2023 15:20,Marvel Stadium,Richmond,Gold Coast Suns
7,30/04/2023 16:10,Adelaide Oval,Adelaide Crows,Collingwood
8,5/05/2023 19:50,Marvel Stadium,Carlton,Brisbane Lions
8,6/05/2023 13:45,MCG,Richmond,West Coast Eagles
8,6/05/2023 14:10,GMHBA Stadium,Geelong Cats,Adelaide Crows
8,6/05/2023 16:35,Metricon Stadium,Gold Coast Suns,Melbourne
8,6/05/2023 19:25,Manuka Oval,GWS Giants,Western Bulldogs
8,6/05/2023 17:30,Optus Stadium,Fremantle,Hawthorn
8,7/05/2023 12:40,Adelaide Oval,Port Adelaide,Essendon
8,7/05/2023 15:20,MCG,Collingwood,Sydney Swans
8,7/05/2023 16:40,Marvel Stadium,North Melbourne,St Kilda
9,12/05/2023 19:20,MCG,Richmond,Geelong Cats
9,12/05/2023 18:40,Optus Stadium,West Coast Eagles,Gold Coast Suns
